Entity,Code,Year,Wind (TWh - equivalent)
Asia Pacific (EI),,1990,0.095579445
Asia Pacific (EI),,1991,0.36075526
Asia Pacific (EI),,1992,0.65193945
Asia Pacific (EI),,1993,0.92209774
Asia Pacific (EI),,1994,1.7256635
Asia Pacific (EI),,1995,3.316563
Asia Pacific (EI),,1996,2.9309826
Asia Pacific (EI),,1997,3.589637
Asia Pacific (EI),,1998,4.404584
Asia Pacific (EI),,1999,6.071435
Asia Pacific (EI),,2000,7.5815635
Asia Pacific (EI),,2001,10.333403
Asia Pacific (EI),,2002,11.870938
Asia Pacific (EI),,2003,15.4892025
Asia Pacific (EI),,2004,26.472853
Asia Pacific (EI),,2005,34.41592
Asia Pacific (EI),,2006,52.83862
Asia Pacific (EI),,2007,69.56833
Asia Pacific (EI),,2008,101.3866
Asia Pacific (EI),,2009,153.1746
Asia Pacific (EI),,2010,226.16588
Asia Pacific (EI),,2011,313.24823
Asia Pacific (EI),,2012,405.04855
Asia Pacific (EI),,2013,513.6654
Asia Pacific (EI),,2014,580.485
Asia Pacific (EI),,2015,654.5476
Asia Pacific (EI),,2016,833.16296
Asia Pacific (EI),,2017,1030.3228
Asia Pacific (EI),,2018,1222.5673
Asia Pacific (EI),,2019,1348.6019
Asia Pacific (EI),,2020,1508.7869
Asia Pacific (EI),,2021,2039.0095
Asia Pacific (EI),,2022,2348.8215
Australia,AUS,1990,0
Australia,AUS,1991,0
Australia,AUS,1992,0
Australia,AUS,1993,0.005913972
Australia,AUS,1994,0.016263444
Australia,AUS,1995,0.020698916
Australia,AUS,1996,0.020698916
Australia,AUS,1997,0.022177415
Australia,AUS,1998,0.05322583
Australia,AUS,1999,0.12715055
Australia,AUS,2000,0.39623666
Australia,AUS,2001,0.84314525
Australia,AUS,2002,1.5573441
Australia,AUS,2003,2.0418324
Australia,AUS,2004,2.2909133
Australia,AUS,2005,3.7197175
Australia,AUS,2006,6.152049
Australia,AUS,2007,8.064658
Australia,AUS,2008,9.718445
Australia,AUS,2009,12.393357
Australia,AUS,2010,13.836261
Australia,AUS,2011,17.743668
Australia,AUS,2012,21.181452
Australia,AUS,2013,25.234642
Australia,AUS,2014,26.48685
Australia,AUS,2015,31.865946
Australia,AUS,2016,34.90778
Australia,AUS,2017,35.15775
Australia,AUS,2018,43.024693
Australia,AUS,2019,51.326828
Australia,AUS,2020,59.372234
Australia,AUS,2021,70.11614
Australia,AUS,2022,82.522026
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0
Austria,AUT,1994,0
Austria,AUT,1995,0.002957
Austria,AUT,1996,0.014784943
Austria,AUT,1997,0.05913972
Austria,AUT,1998,0.13306443
Austria,AUT,1999,0.1508064
Austria,AUT,2000,0.19811833
Austria,AUT,2001,0.50529945
Austria,AUT,2002,0.59252334
Austria,AUT,2003,1.0614452
Austria,AUT,2004,2.6626463
Austria,AUT,2005,3.8119957
Austria,AUT,2006,4.987406
Austria,AUT,2007,5.760387
Austria,AUT,2008,5.65175
Austria,AUT,2009,5.457072
Austria,AUT,2010,5.728555
Austria,AUT,2011,5.341407
Austria,AUT,2012,6.750725
Austria,AUT,2013,8.593873
Austria,AUT,2014,10.418562
Austria,AUT,2015,13.034909
Austria,AUT,2016,14.013859
Austria,AUT,2017,17.488697
Austria,AUT,2018,15.95487
Austria,AUT,2019,19.638197
Austria,AUT,2020,17.836521
Austria,AUT,2021,17.63651
Austria,AUT,2022,18.889414
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0.0058646947
Azerbaijan,AZE,2010,0.0013877888
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0021803332
Azerbaijan,AZE,2014,0.006230917
Azerbaijan,AZE,2015,0.012387666
Azerbaijan,AZE,2016,0.061036386
Azerbaijan,AZE,2017,0.058814444
Azerbaijan,AZE,2018,0.21880165
Azerbaijan,AZE,2019,0.27783138
Azerbaijan,AZE,2020,0.2523864
Azerbaijan,AZE,2021,0.23916416
Azerbaijan,AZE,2022,0.21717444
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0
Bangladesh,BGD,2003,0
Bangladesh,BGD,2004,0
Bangladesh,BGD,2005,0
Bangladesh,BGD,2006,0.0045526386
Bangladesh,BGD,2007,0.004524194
Bangladesh,BGD,2008,0.008149167
Bangladesh,BGD,2009,0.0142428335
Bangladesh,BGD,2010,0.014155444
Bangladesh,BGD,2011,0.014069139
Bangladesh,BGD,2012,0.013983861
Bangladesh,BGD,2013,0.0138478605
Bangladesh,BGD,2014,0.013764916
Bangladesh,BGD,2015,0.013683
Bangladesh,BGD,2016,0.013602028
Bangladesh,BGD,2017,0.013522027
Bangladesh,BGD,2018,0.013442944
Bangladesh,BGD,2019,0.013393388
Bangladesh,BGD,2020,0.013380722
Bangladesh,BGD,2021,0.013295333
Bangladesh,BGD,2022,0.01324686
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0.0029107498
Belarus,BLR,2005,0.0028634167
Belarus,BLR,2006,0.0028454165
Belarus,BLR,2007,0.002827611
Belarus,BLR,2008,0.0028100556
Belarus,BLR,2009,0.002792722
Belarus,BLR,2010,0.0027755776
Belarus,BLR,2011,0.011034611
Belarus,BLR,2012,0.01645161
Belarus,BLR,2013,0.021803332
Belarus,BLR,2014,0.024381889
Belarus,BLR,2015,0.105025835
Belarus,BLR,2016,0.1954236
Belarus,BLR,2017,0.25814527
Belarus,BLR,2018,0.26192692
Belarus,BLR,2019,0.43757138
Belarus,BLR,2020,0.4858636
Belarus,BLR,2021,0.48146945
Belarus,BLR,2022,0.47971362
Belgium,BEL,1986,0
Belgium,BEL,1987,0.017741943
Belgium,BEL,1988,0.023655916
Belgium,BEL,1989,0.020698916
Belgium,BEL,1990,0.020698916
Belgium,BEL,1991,0.023655916
Belgium,BEL,1992,0.026612887
Belgium,BEL,1993,0.023655916
Belgium,BEL,1994,0.026612887
Belgium,BEL,1995,0.026612887
Belgium,BEL,1996,0.023655916
Belgium,BEL,1997,0.023655916
Belgium,BEL,1998,0.032526944
Belgium,BEL,1999,0.03844083
Belgium,BEL,2000,0.047311943
Belgium,BEL,2001,0.10869805
Belgium,BEL,2002,0.16637361
Belgium,BEL,2003,0.25521082
Belgium,BEL,2004,0.4091947
Belgium,BEL,2005,0.64999497
Belgium,BEL,2006,1.041418
Belgium,BEL,2007,1.3883618
Belgium,BEL,2008,1.7900069
Belgium,BEL,2009,2.781541
Belgium,BEL,2010,3.586048
Belgium,BEL,2011,6.3780093
Belgium,BEL,2012,7.565822
Belgium,BEL,2013,9.988656
Belgium,BEL,2014,12.503299
Belgium,BEL,2015,15.010628
Belgium,BEL,2016,14.508204
Belgium,BEL,2017,17.353476
Belgium,BEL,2018,20.039003
Belgium,BEL,2019,25.714964
Belgium,BEL,2020,33.66535
Belgium,BEL,2021,31.393843
Belgium,BEL,2022,31.04347
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0.005913972
Brazil,BRA,1997,0.011827944
Brazil,BRA,1998,0.014784943
Brazil,BRA,1999,0.005913972
Brazil,BRA,2000,0.002957
Brazil,BRA,2001,0.102528885
Brazil,BRA,2002,0.1780489
Brazil,BRA,2003,0.1769075
Brazil,BRA,2004,0.17578083
Brazil,BRA,2005,0.26601112
Brazil,BRA,2006,0.6743608
Brazil,BRA,2007,1.8740958
Brazil,BRA,2008,3.3242989
Brazil,BRA,2009,3.4573774
Brazil,BRA,2010,6.0412083
Brazil,BRA,2011,7.4615235
Brazil,BRA,2012,13.846774
Brazil,BRA,2013,17.921974
Brazil,BRA,2014,33.078766
Brazil,BRA,2015,58.237415
Brazil,BRA,2016,89.65097
Brazil,BRA,2017,112.76754
Brazil,BRA,2018,128.252
Brazil,BRA,2019,147.57654
Brazil,BRA,2020,149.83165
Brazil,BRA,2021,189.14905
Brazil,BRA,2022,212.8245
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0.002881639
Bulgaria,BGR,2005,0.014317055
Bulgaria,BGR,2006,0.056908052
Bulgaria,BGR,2007,0.13289805
Bulgaria,BGR,2008,0.3428272
Bulgaria,BGR,2009,0.66187274
Bulgaria,BGR,2010,1.8901691
Bulgaria,BGR,2011,2.3752015
Bulgaria,BGR,2012,3.347903
Bulgaria,BGR,2013,3.7433941
Bulgaria,BGR,2014,3.6046631
Bulgaria,BGR,2015,3.908879
Bulgaria,BGR,2016,3.8146982
Bulgaria,BGR,2017,4.002751
Bulgaria,BGR,2018,3.4873936
Bulgaria,BGR,2019,3.4715438
Bulgaria,BGR,2020,3.879373
Bulgaria,BGR,2021,3.7511659
Bulgaria,BGR,2022,3.9064748
CIS (EI),,1965,0
CIS (EI),,1990,0
CIS (EI),,1991,0
CIS (EI),,1992,0
CIS (EI),,1993,0
CIS (EI),,1994,0
CIS (EI),,1995,0
CIS (EI),,1996,0
CIS (EI),,1997,0
CIS (EI),,1998,0
CIS (EI),,1999,0
CIS (EI),,2000,0.0056182775
CIS (EI),,2001,0.009107139
CIS (EI),,2002,0.018096777
CIS (EI),,2003,0.024941055
CIS (EI),,2004,0.023082333
CIS (EI),,2005,0.022334639
CIS (EI),,2006,0.025039556
CIS (EI),,2007,0.02969
CIS (EI),,2008,0.022761473
CIS (EI),,2009,0.03127833
CIS (EI),,2010,0.027161803
CIS (EI),,2011,0.034590833
CIS (EI),,2012,0.049672775
CIS (EI),,2013,0.05756555
CIS (EI),,2014,0.34045553
CIS (EI),,2015,0.88614744
CIS (EI),,2016,1.4025089
CIS (EI),,2017,1.6153066
CIS (EI),,2018,2.1935065
CIS (EI),,2019,3.5721204
CIS (EI),,2020,6.567513
CIS (EI),,2021,12.26464
CIS (EI),,2022,18.534527
Canada,CAN,1985,0.002957
Canada,CAN,1986,0.002957
Canada,CAN,1987,0.002957
Canada,CAN,1988,0.002957
Canada,CAN,1989,0.002957
Canada,CAN,1990,0.0056750276
Canada,CAN,1991,0.0056750276
Canada,CAN,1992,0.1744625
Canada,CAN,1993,0.1744625
Canada,CAN,1994,0.1744625
Canada,CAN,1995,0.1744625
Canada,CAN,1996,0.18333334
Canada,CAN,1997,0.18333334
Canada,CAN,1998,0.18333334
Canada,CAN,1999,0.47903222
Canada,CAN,2000,0.78064525
Canada,CAN,2001,0.9665322
Canada,CAN,2002,1.182128
Canada,CAN,2003,2.0010855
Canada,CAN,2004,2.723161
Canada,CAN,2005,4.4882703
Canada,CAN,2006,7.0368724
Canada,CAN,2007,8.503444
Canada,CAN,2008,10.645945
Canada,CAN,2009,18.54822
Canada,CAN,2010,24.214682
Canada,CAN,2011,28.106756
Canada,CAN,2012,31.01537
Canada,CAN,2013,30.37599
Canada,CAN,2014,34.7227
Canada,CAN,2015,72.619736
Canada,CAN,2016,82.80911
Canada,CAN,2017,83.86688
Canada,CAN,2018,88.55608
Canada,CAN,2019,86.6591
Canada,CAN,2020,93.92787
Canada,CAN,2021,90.94714
Canada,CAN,2022,97.83473
Central America (EI),,1971,0
Central America (EI),,1972,0
Central America (EI),,1973,0
Central America (EI),,1974,0
Central America (EI),,1975,0
Central America (EI),,1976,0
Central America (EI),,1977,0
Central America (EI),,1978,0
Central America (EI),,1979,0
Central America (EI),,1980,0
Central America (EI),,1981,0
Central America (EI),,1982,0
Central America (EI),,1983,0
Central America (EI),,1984,0
Central America (EI),,1985,0
Central America (EI),,1986,0
Central America (EI),,1987,0
Central America (EI),,1988,0
Central America (EI),,1989,0
Central America (EI),,1990,0
Central America (EI),,1991,0
Central America (EI),,1992,0
Central America (EI),,1993,0
Central America (EI),,1994,0
Central America (EI),,1995,0
Central America (EI),,1996,0.06679944
Central America (EI),,1997,0.22388083
Central America (EI),,1998,0.1898636
Central America (EI),,1999,0.29468194
Central America (EI),,2000,0.51741135
Central America (EI),,2001,0.5271103
Central America (EI),,2002,0.74230164
Central America (EI),,2003,0.66767776
Central America (EI),,2004,0.73607194
Central America (EI),,2005,0.5793061
Central America (EI),,2006,0.77441275
Central America (EI),,2007,0.6797508
Central America (EI),,2008,0.5566084
Central America (EI),,2009,1.1768115
Central America (EI),,2010,1.4484992
Central America (EI),,2011,2.0462515
Central America (EI),,2012,3.0963483
Central America (EI),,2013,3.6765313
Central America (EI),,2014,5.672725
Central America (EI),,2015,8.443358
Central America (EI),,2016,8.83281
Central America (EI),,2017,8.541611
Central America (EI),,2018,11.735255
Central America (EI),,2019,11.598742
Central America (EI),,2020,9.527083
Central America (EI),,2021,10.437869
Central America (EI),,2022,9.513402
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0.020564528
Chile,CHL,2002,0.020431831
Chile,CHL,2003,0.020300861
Chile,CHL,2004,0.01440825
Chile,CHL,2005,0.020043889
Chile,CHL,2006,0.019917833
Chile,CHL,2007,0.031669445
Chile,CHL,2008,0.10712833
Chile,CHL,2009,0.22066388
Chile,CHL,2010,0.90296805
Chile,CHL,2011,0.9313097
Chile,CHL,2012,1.119772
Chile,CHL,2013,1.4855585
Chile,CHL,2014,3.9095538
Chile,CHL,2015,5.694689
Chile,CHL,2016,6.5636663
Chile,CHL,2017,9.648666
Chile,CHL,2018,9.492591
Chile,CHL,2019,12.903667
Chile,CHL,2020,14.713266
Chile,CHL,2021,19.960268
Chile,CHL,2022,24.41743
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.0059737223
China,CHN,1991,0.026881723
China,CHN,1992,0.38829136
China,CHN,1993,0.62724
China,CHN,1994,1.1350057
China,CHN,1995,1.8219833
China,CHN,1996,0.2777778
China,CHN,1997,0.5854242
China,CHN,1998,1.0513738
China,CHN,1999,1.4008363
China,CHN,2000,1.7443249
China,CHN,2001,2.1128333
China,CHN,2002,2.4441555
China,CHN,2003,2.8913352
China,CHN,2004,3.6821108
China,CHN,2005,5.5723767
China,CHN,2006,10.5616255
China,CHN,2007,15.493363
China,CHN,2008,36.81176
China,CHN,2009,77.120735
China,CHN,2010,137.11253
China,CHN,2011,204.41629
China,CHN,2012,282.55618
China,CHN,2013,376.8275
China,CHN,2014,432.8128
China,CHN,2015,499.7926
China,CHN,2016,644.79254
China,CHN,2017,810.629
China,CHN,2018,967.807
China,CHN,2019,1068.3596
China,CHN,2020,1225.164
China,CHN,2021,1716.0167
China,CHN,2022,1988.4497
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0
Colombia,COL,2001,0
Colombia,COL,2002,0
Colombia,COL,2003,0
Colombia,COL,2004,0.14981695
Colombia,COL,2005,0.14168166
Colombia,COL,2006,0.17920749
Colombia,COL,2007,0.14107278
Colombia,COL,2008,0.15151305
Colombia,COL,2009,0.1611614
Colombia,COL,2010,0.10705388
Colombia,COL,2011,0.113855
Colombia,COL,2012,0.15040806
Colombia,COL,2013,0.15705167
Colombia,COL,2014,0.19026083
Colombia,COL,2015,0.18413861
Colombia,COL,2016,0.13622722
Colombia,COL,2017,0.008173944
Colombia,COL,2018,0.11493027
Colombia,COL,2019,0.16690972
Colombia,COL,2020,0.026578056
Colombia,COL,2021,0.15823056
Colombia,COL,2022,0.19522221
Croatia,HRV,1990,0
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0.005763306
Croatia,HRV,2005,0.028634166
Croatia,HRV,2006,0.054062776
Croatia,HRV,2007,0.098683886
Croatia,HRV,2008,0.11212139
Croatia,HRV,2009,0.151365
Croatia,HRV,2010,0.38608304
Croatia,HRV,2011,0.55448973
Croatia,HRV,2012,0.90140027
Croatia,HRV,2013,1.4098231
Croatia,HRV,2014,1.9775602
Croatia,HRV,2015,2.1444001
Croatia,HRV,2016,2.7151802
Croatia,HRV,2017,3.2041936
Croatia,HRV,2018,3.533104
Croatia,HRV,2019,3.867762
Croatia,HRV,2020,4.519056
Croatia,HRV,2021,5.395065
Croatia,HRV,2022,5.9938273
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.0010229861
Cyprus,CYP,2005,0.0010165111
Cyprus,CYP,2006,0.0010101194
Cyprus,CYP,2007,0.0010066333
Cyprus,CYP,2008,0.0010003805
Cyprus,CYP,2009,0.0009942055
Cyprus,CYP,2010,0.08604305
Cyprus,CYP,2011,0.31448668
Cyprus,CYP,2012,0.50725806
Cyprus,CYP,2013,0.6295717
